主体代码,会计主体,科目编码,科目名称,期初余额(借正贷负),本期借方发生额,本期贷方发生额,期末余额(借正贷负)
P,黔岭酒业股份有限公司,6001,主营业务收入,0.00,0.00,"2,066,000,000.00","-2,066,000,000.00"
P,黔岭酒业股份有限公司,6051,其他业务收入,0.00,0.00,"13,400,000.00","-13,400,000.00"
P,黔岭酒业股份有限公司,6111,投资收益,0.00,0.00,"98,000,000.00","-98,000,000.00"
P,黔岭酒业股份有限公司,6117,其他收益,0.00,0.00,"51,000,000.00","-51,000,000.00"
P,黔岭酒业股份有限公司,6301,营业外收入,0.00,0.00,"3,200,000.00","-3,200,000.00"
P,黔岭酒业股份有限公司,6401,主营业务成本,0.00,"1,142,000,000.00",0.00,"1,142,000,000.00"
P,黔岭酒业股份有限公司,6402,其他业务成本,0.00,"8,000,000.00",0.00,"8,000,000.00"
P,黔岭酒业股份有限公司,6403,税金及附加,0.00,"520,000,000.00",0.00,"520,000,000.00"
P,黔岭酒业股份有限公司,6601,销售费用,0.00,"165,000,000.00",0.00,"165,000,000.00"
P,黔岭酒业股份有限公司,6602,管理费用,0.00,"195,795,000.00",0.00,"195,795,000.00"
P,黔岭酒业股份有限公司,6603,研发费用,0.00,"46,000,000.00",0.00,"46,000,000.00"
P,黔岭酒业股份有限公司,6604,财务费用,0.00,0.00,"58,000,000.00","-58,000,000.00"
P,黔岭酒业股份有限公司,6701,信用减值损失,0.00,"3,000,000.00",0.00,"3,000,000.00"
P,黔岭酒业股份有限公司,6702,资产减值损失,0.00,"4,000,000.00",0.00,"4,000,000.00"
P,黔岭酒业股份有限公司,6711,营业外支出,0.00,"8,600,000.00",0.00,"8,600,000.00"
P,黔岭酒业股份有限公司,6801,所得税费用,0.00,"32,000,000.00",0.00,"32,000,000.00"
