凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,费用性质,使用部门,季度,单据日期,现金流项目,合同号,补助类型,内部往来标记
PZ00010,P,黔岭酒业股份有限公司,2025-05-31,采购酿酒原辅料（第一批）,1401,原材料,393200000.00,,,红缨子高粱种植合作社,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00010,P,黔岭酒业股份有限公司,2025-05-31,采购酿酒原辅料（第一批）,1123,预付款项,6800000.00,,,红缨子高粱种植合作社,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00010,P,黔岭酒业股份有限公司,2025-05-31,采购酿酒原辅料（第一批）,1002,银行存款,,400000000.00,,红缨子高粱种植合作社,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00011,P,黔岭酒业股份有限公司,2025-06-30,采购酿酒原辅料（第二批）,1401,原材料,486000000.00,,,仁怀小麦种植合作社,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00011,P,黔岭酒业股份有限公司,2025-06-30,采购酿酒原辅料（第二批）,1002,银行存款,,486000000.00,,仁怀小麦种植合作社,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00012,P,黔岭酒业股份有限公司,2025-08-31,采购包装材料,1401,原材料,168000000.00,,,黔岭酒类包装有限公司,黔岭酒类包装有限公司,,,,,,,,,,,,
PZ00012,P,黔岭酒业股份有限公司,2025-08-31,采购包装材料,2202,应付账款,,168000000.00,,黔岭酒类包装有限公司,黔岭酒类包装有限公司,,,,,,,,,,,,
PZ00013,P,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,2202,应付账款,82000000.00,,,,黔岭酒类包装有限公司,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00013,P,黔岭酒业股份有限公司,2025-11-30,支付黔岭包装货款,1002,银行存款,,82000000.00,,,黔岭酒类包装有限公司,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00014,P,黔岭酒业股份有限公司,2025-08-31,领用原辅料投入生产,1402,生产成本,960000000.00,,,,,,,,,,,,,,,,
PZ00014,P,黔岭酒业股份有限公司,2025-08-31,领用原辅料投入生产,1401,原材料,,960000000.00,,,,,,,,,,,,,,,
PZ00015,P,黔岭酒业股份有限公司,2025-09-30,生产制造费用（水电燃气）,1402,生产成本,220000000.00,,,能源供应商,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00015,P,黔岭酒业股份有限公司,2025-09-30,生产制造费用（水电燃气）,1002,银行存款,,220000000.00,,能源供应商,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00016,P,黔岭酒业股份有限公司,2025-12-31,计提生产用固定资产折旧,1402,生产成本,159916666.66,,,,,,,,,,生产,,,,,,
PZ00016,P,黔岭酒业股份有限公司,2025-12-31,计提生产用固定资产折旧,1602,累计折旧,,159916666.66,,,,,,,,,生产,,,,,,
PZ00017,P,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,6602,管理费用,36290000.00,,,,,,,,,折旧与摊销,管理,,,,,,
PZ00017,P,黔岭酒业股份有限公司,2025-12-31,计提管理用固定资产折旧,1602,累计折旧,,36290000.00,,,,,,,,折旧与摊销,管理,,,,,,
PZ00018,P,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,6602,管理费用,16000000.00,,,,,,,,,折旧与摊销,,,,,,,
PZ00018,P,黔岭酒业股份有限公司,2025-12-31,无形资产摊销,1702,累计摊销,,16000000.00,,,,,,,,折旧与摊销,,,,,,,
PZ00019,P,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,6602,管理费用,8400000.00,,,,,,,,,折旧与摊销,,,,,,,
PZ00019,P,黔岭酒业股份有限公司,2025-12-31,长期待摊费用摊销,1801,长期待摊费用,,8400000.00,,,,,,,,折旧与摊销,,,,,,,
PZ00020,P,黔岭酒业股份有限公司,2025-12-31,完工产品入库,1405,库存商品,1086000000.00,,,,,,,,,,,,,,,,
PZ00020,P,黔岭酒业股份有限公司,2025-12-31,完工产品入库,1402,生产成本,,1086000000.00,,,,,,,,,,,,,,,
PZ00021,P,黔岭酒业股份有限公司,2025-03-31,Q1 结转直销成本,6401,主营业务成本,108000000.00,,,,,,,,,,,Q1,,,,,
PZ00021,P,黔岭酒业股份有限公司,2025-03-31,Q1 结转直销成本,1405,库存商品,,108000000.00,,,,,,,,,,Q1,,,,,
PZ00022,P,黔岭酒业股份有限公司,2025-06-30,Q2 结转直销成本,6401,主营业务成本,126000000.00,,,,,,,,,,,Q2,,,,,
PZ00022,P,黔岭酒业股份有限公司,2025-06-30,Q2 结转直销成本,1405,库存商品,,126000000.00,,,,,,,,,,Q2,,,,,
PZ00023,P,黔岭酒业股份有限公司,2025-09-30,Q3 结转直销成本,6401,主营业务成本,117000000.00,,,,,,,,,,,Q3,,,,,
PZ00023,P,黔岭酒业股份有限公司,2025-09-30,Q3 结转直销成本,1405,库存商品,,117000000.00,,,,,,,,,,Q3,,,,,
PZ00024,P,黔岭酒业股份有限公司,2025-12-31,Q4 结转直销成本,6401,主营业务成本,141000000.00,,,,,,,,,,,Q4,,,,,
PZ00024,P,黔岭酒业股份有限公司,2025-12-31,Q4 结转直销成本,1405,库存商品,,141000000.00,,,,,,,,,,Q4,,,,,
PZ00025,P,黔岭酒业股份有限公司,2025-03-31,Q1 结转内部销售成本,6401,主营业务成本,162500000.00,,,,,,,,,,,Q1,,,,,母公司对黔岭销售应收账款
PZ00025,P,黔岭酒业股份有限公司,2025-03-31,Q1 结转内部销售成本,1405,库存商品,,162500000.00,,,,,,,,,,Q1,,,,,母公司对黔岭销售应收账款
PZ00026,P,黔岭酒业股份有限公司,2025-06-30,Q2 结转内部销售成本,6401,主营业务成本,195000000.00,,,,,,,,,,,Q2,,,,,母公司对黔岭销售应收账款
PZ00026,P,黔岭酒业股份有限公司,2025-06-30,Q2 结转内部销售成本,1405,库存商品,,195000000.00,,,,,,,,,,Q2,,,,,母公司对黔岭销售应收账款
PZ00027,P,黔岭酒业股份有限公司,2025-09-30,Q3 结转内部销售成本,6401,主营业务成本,182000000.00,,,,,,,,,,,Q3,,,,,母公司对黔岭销售应收账款
PZ00027,P,黔岭酒业股份有限公司,2025-09-30,Q3 结转内部销售成本,1405,库存商品,,182000000.00,,,,,,,,,,Q3,,,,,母公司对黔岭销售应收账款
PZ00028,P,黔岭酒业股份有限公司,2025-12-31,Q4 结转内部销售成本,6401,主营业务成本,240500000.00,,,,,,,,,,,Q4,,,,,母公司对黔岭销售应收账款
PZ00028,P,黔岭酒业股份有限公司,2025-12-31,Q4 结转内部销售成本,1405,库存商品,,240500000.00,,,,,,,,,,Q4,,,,,母公司对黔岭销售应收账款
PZ00029,P,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,1402,生产成本,164000000.00,,,,,,,,,,,,,,,,
PZ00029,P,黔岭酒业股份有限公司,2025-12-31,计提生产人员薪酬,2211,应付职工薪酬,,164000000.00,,,,,,,,,,,,,,,
PZ00030,P,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,6602,管理费用,82000000.00,,,,,,,,,职工薪酬,,,,,,,
PZ00030,P,黔岭酒业股份有限公司,2025-12-31,计提管理人员薪酬,2211,应付职工薪酬,,82000000.00,,,,,,,,职工薪酬,,,,,,,
PZ00031,P,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,6603,研发费用,26000000.00,,,,,,,,,职工薪酬,,,,,,,
PZ00031,P,黔岭酒业股份有限公司,2025-12-31,计提研发人员薪酬,2211,应付职工薪酬,,26000000.00,,,,,,,,职工薪酬,,,,,,,
PZ00032,P,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,34000000.00,,,,,,,,,职工薪酬,,,,,,,
PZ00032,P,黔岭酒业股份有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,34000000.00,,,,,,,,职工薪酬,,,,,,,
PZ00033,P,黔岭酒业股份有限公司,2025-12-31,支付职工薪酬,2211,应付职工薪酬,320000000.00,,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00033,P,黔岭酒业股份有限公司,2025-12-31,支付职工薪酬,1002,银行存款,,320000000.00,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00034,P,黔岭酒业股份有限公司,2025-12-31,计提消费税及附加,6403,税金及附加,568000000.00,,,,,,,,消费税及附加,,,,,,,,
PZ00034,P,黔岭酒业股份有限公司,2025-12-31,计提消费税及附加,2221,应交税费,,568000000.00,,,,,,,消费税及附加,,,,,,,,
PZ00035,P,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,568000000.00,,,,,,,,消费税及附加,,,,,支付的各项税费,,,
PZ00035,P,黔岭酒业股份有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,568000000.00,,,,,,,消费税及附加,,,,,支付的各项税费,,,
PZ00036,P,黔岭酒业股份有限公司,2025-12-31,计提企业所得税,6801,所得税费用,96000000.00,,,,,,,,企业所得税,,,,,,,,
PZ00036,P,黔岭酒业股份有限公司,2025-12-31,计提企业所得税,2221,应交税费,,96000000.00,,,,,,,企业所得税,,,,,,,,
PZ00037,P,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,96000000.00,,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00037,P,黔岭酒业股份有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,96000000.00,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00038,P,黔岭酒业股份有限公司,2025-12-31,代扣代缴个人所得税（计提）,2211,应付职工薪酬,2300000.00,,,,,,,,个人所得税,,,,,,,,
PZ00038,P,黔岭酒业股份有限公司,2025-12-31,代扣代缴个人所得税（计提）,2221,应交税费,,2300000.00,,,,,,,个人所得税,,,,,,,,
PZ00039,S1,黔岭销售有限公司,2025-12-31,缴纳个人所得税（含母公司代扣部分）,2221,应交税费,2300000.00,,,,,,,,个人所得税,,,,,支付的各项税费,,,
PZ00039,S1,黔岭销售有限公司,2025-12-31,缴纳个人所得税（含母公司代扣部分）,1002,银行存款,,2300000.00,,,,,,,个人所得税,,,,,支付的各项税费,,,
PZ00040,P,黔岭酒业股份有限公司,2025-11-30,支付品牌推广服务费,6601,销售费用,12000000.00,,,品牌广告服务商,,,,,,市场推广费,,,,支付其他与经营活动有关的现金,,,
PZ00040,P,黔岭酒业股份有限公司,2025-11-30,支付品牌推广服务费,1002,银行存款,,12000000.00,,品牌广告服务商,,,,,,市场推广费,,,,支付其他与经营活动有关的现金,,,
PZ00041,S1,黔岭销售有限公司,2025-03-31,Q1 批发销售收入（含代理业务）,1002,银行存款,440000000.00,,华东区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q1,,销售商品、提供劳务收到的现金,,,
PZ00041,S1,黔岭销售有限公司,2025-03-31,Q1 批发销售收入（含代理业务）,1122,应收账款,180000000.00,,华东区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q1,,销售商品、提供劳务收到的现金,,,
PZ00041,S1,黔岭销售有限公司,2025-03-31,Q1 批发销售收入（含代理业务）,6001,主营业务收入,,620000000.00,华东区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q1,,销售商品、提供劳务收到的现金,,,
PZ00042,S1,黔岭销售有限公司,2025-06-30,Q2 批发销售收入,1002,银行存款,680000000.00,,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q2,,销售商品、提供劳务收到的现金,,,
PZ00042,S1,黔岭销售有限公司,2025-06-30,Q2 批发销售收入,6001,主营业务收入,,680000000.00,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q2,,销售商品、提供劳务收到的现金,,,
PZ00043,S1,黔岭销售有限公司,2025-09-30,Q3 批发销售收入,1002,银行存款,700000000.00,,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q3,,销售商品、提供劳务收到的现金,,,
PZ00043,S1,黔岭销售有限公司,2025-09-30,Q3 批发销售收入,6001,主营业务收入,,700000000.00,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q3,,销售商品、提供劳务收到的现金,,,
PZ00044,S1,黔岭销售有限公司,2025-12-31,Q4 批发销售收入,1002,银行存款,760000000.00,,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q4,,销售商品、提供劳务收到的现金,,,
PZ00044,S1,黔岭销售有限公司,2025-12-31,Q4 批发销售收入,1122,应收账款,120000000.00,,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q4,,销售商品、提供劳务收到的现金,,,
PZ00044,S1,黔岭销售有限公司,2025-12-31,Q4 批发销售收入,6001,主营业务收入,,880000000.00,华北区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,Q4,,销售商品、提供劳务收到的现金,,,
PZ00045,S1,黔岭销售有限公司,2025-03-31,Q1 结转批发销售成本,6401,主营业务成本,349136000.00,,,,,,,,,,,Q1,,,,,
PZ00045,S1,黔岭销售有限公司,2025-03-31,Q1 结转批发销售成本,1405,库存商品,,349136000.00,,,,,,,,,,Q1,,,,,
PZ00046,S1,黔岭销售有限公司,2025-06-30,Q2 结转批发销售成本,6401,主营业务成本,261392000.00,,,,,,,,,,,Q2,,,,,
PZ00046,S1,黔岭销售有限公司,2025-06-30,Q2 结转批发销售成本,1405,库存商品,,261392000.00,,,,,,,,,,Q2,,,,,
PZ00047,S1,黔岭销售有限公司,2025-09-30,Q3 结转批发销售成本,6401,主营业务成本,269080000.00,,,,,,,,,,,Q3,,,,,
PZ00047,S1,黔岭销售有限公司,2025-09-30,Q3 结转批发销售成本,1405,库存商品,,269080000.00,,,,,,,,,,Q3,,,,,
PZ00048,S1,黔岭销售有限公司,2025-12-31,Q4 结转批发销售成本,6401,主营业务成本,300272000.00,,,,,,,,,,,Q4,,,,,
PZ00048,S1,黔岭销售有限公司,2025-12-31,Q4 结转批发销售成本,1405,库存商品,,300272000.00,,,,,,,,,,Q4,,,,,
PZ00049,S1,黔岭销售有限公司,2025-03-31,Q1 向母公司采购基酒,1405,库存商品,250000000.00,,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q1,,,,,黔岭销售对母公司应付账款
PZ00049,S1,黔岭销售有限公司,2025-03-31,Q1 向母公司采购基酒,2202,应付账款,,250000000.00,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q1,,,,,黔岭销售对母公司应付账款
PZ00050,S1,黔岭销售有限公司,2025-06-30,Q2 向母公司采购基酒,1405,库存商品,300000000.00,,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q2,,,,,黔岭销售对母公司应付账款
PZ00050,S1,黔岭销售有限公司,2025-06-30,Q2 向母公司采购基酒,2202,应付账款,,300000000.00,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q2,,,,,黔岭销售对母公司应付账款
PZ00051,S1,黔岭销售有限公司,2025-09-30,Q3 向母公司采购基酒,1405,库存商品,280000000.00,,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q3,,,,,黔岭销售对母公司应付账款
PZ00051,S1,黔岭销售有限公司,2025-09-30,Q3 向母公司采购基酒,2202,应付账款,,280000000.00,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q3,,,,,黔岭销售对母公司应付账款
PZ00052,S1,黔岭销售有限公司,2025-12-31,Q4 向母公司采购基酒,1405,库存商品,370000000.00,,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q4,,,,,黔岭销售对母公司应付账款
PZ00052,S1,黔岭销售有限公司,2025-12-31,Q4 向母公司采购基酒,2202,应付账款,,370000000.00,,黔岭酒业股份有限公司,黔岭酒业股份有限公司,,,,,,,Q4,,,,,黔岭销售对母公司应付账款
PZ00053,S1,黔岭销售有限公司,2025-12-31,支付母公司货款,2202,应付账款,850000000.00,,,,黔岭酒业股份有限公司,,,,,,,,,购买商品、接受劳务支付的现金,,,黔岭销售对母公司应付账款
PZ00053,S1,黔岭销售有限公司,2025-12-31,支付母公司货款,1002,银行存款,,850000000.00,,,黔岭酒业股份有限公司,,,,,,,,,购买商品、接受劳务支付的现金,,,黔岭销售对母公司应付账款
PZ00054,S1,黔岭销售有限公司,2025-11-30,收经销商货款（第 1 笔）,1002,银行存款,6600000.00,,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00054,S1,黔岭销售有限公司,2025-11-30,收经销商货款（第 1 笔）,1122,应收账款,,6600000.00,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00055,S1,黔岭销售有限公司,2025-12-30,收经销商货款（第 2 笔）,1002,银行存款,6400000.00,,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00055,S1,黔岭销售有限公司,2025-12-30,收经销商货款（第 2 笔）,1122,应收账款,,6400000.00,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00056,S1,黔岭销售有限公司,2025-12-30,收经销商货款（第 3 笔）,1002,银行存款,5000000.00,,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00056,S1,黔岭销售有限公司,2025-12-30,收经销商货款（第 3 笔）,1122,应收账款,,5000000.00,华东区经销商（汇总）,,,,,,,,,,,销售商品、提供劳务收到的现金,,,
PZ00057,S1,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,6601,销售费用,168000000.00,,,,,,,,,职工薪酬,,,,,,,
PZ00057,S1,黔岭销售有限公司,2025-12-31,计提销售人员薪酬,2211,应付职工薪酬,,168000000.00,,,,,,,,职工薪酬,,,,,,,
PZ00058,S1,黔岭销售有限公司,2025-12-31,支付职工薪酬,2211,应付职工薪酬,186000000.00,,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00058,S1,黔岭销售有限公司,2025-12-31,支付职工薪酬,1002,银行存款,,186000000.00,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00059,S1,黔岭销售有限公司,2025-12-31,计提管理费用,6602,管理费用,52000000.00,,,,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00059,S1,黔岭销售有限公司,2025-12-31,计提管理费用,1002,银行存款,,52000000.00,,,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00060,S1,黔岭销售有限公司,2025-12-31,计提销售费用（市场营销）,6601,销售费用,46000000.00,,,,,,,,,市场推广费,,,,支付其他与经营活动有关的现金,,,
PZ00060,S1,黔岭销售有限公司,2025-12-31,计提销售费用（市场营销）,1002,银行存款,,46000000.00,,,,,,,,市场推广费,,,,支付其他与经营活动有关的现金,,,
PZ00061,S1,黔岭销售有限公司,2025-12-31,计提固定资产折旧,6601,销售费用,6080000.00,,,,,,,,,折旧与摊销,销售,,,,,,
PZ00061,S1,黔岭销售有限公司,2025-12-31,计提固定资产折旧,1602,累计折旧,,6080000.00,,,,,,,,折旧与摊销,销售,,,,,,
PZ00062,S1,黔岭销售有限公司,2025-12-31,计提税金及附加,6403,税金及附加,86000000.00,,,,,,,,消费税及附加,,,,,,,,
PZ00062,S1,黔岭销售有限公司,2025-12-31,计提税金及附加,2221,应交税费,,86000000.00,,,,,,,消费税及附加,,,,,,,,
PZ00063,S1,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,86000000.00,,,,,,,,消费税及附加,,,,,支付的各项税费,,,
PZ00063,S1,黔岭销售有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,86000000.00,,,,,,,消费税及附加,,,,,支付的各项税费,,,
PZ00064,S1,黔岭销售有限公司,2025-12-31,计提企业所得税,6801,所得税费用,112000000.00,,,,,,,,企业所得税,,,,,,,,
PZ00064,S1,黔岭销售有限公司,2025-12-31,计提企业所得税,2221,应交税费,,112000000.00,,,,,,,企业所得税,,,,,,,,
PZ00065,S1,黔岭销售有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,112000000.00,,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00065,S1,黔岭销售有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,112000000.00,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00066,S1,黔岭销售有限公司,2025-12-31,计提应收账款坏账准备,6701,信用减值损失,14160000.00,,,,,,,,,信用减值,,,,,,,
PZ00066,S1,黔岭销售有限公司,2025-12-31,计提应收账款坏账准备,1231,坏账准备,,14160000.00,,,,,,,,信用减值,,,,,,,
PZ00067,S2,黔岭酒类包装有限公司,2025-12-31,向母公司销售包装材料,1122,应收账款,168000000.00,,,,黔岭酒业股份有限公司,包装材料,内部销售,国内,,,,,,,,,黔岭包装对母公司应收账款
PZ00067,S2,黔岭酒类包装有限公司,2025-12-31,向母公司销售包装材料,6001,主营业务收入,,168000000.00,,,黔岭酒业股份有限公司,包装材料,内部销售,国内,,,,,,,,,黔岭包装对母公司应收账款
PZ00068,S2,黔岭酒类包装有限公司,2025-12-31,结转包装材料成本,6401,主营业务成本,134400000.00,,,,,,,,,,,,,,,,
PZ00068,S2,黔岭酒类包装有限公司,2025-12-31,结转包装材料成本,1405,库存商品,,134400000.00,,,,,,,,,,,,,,,
PZ00069,S2,黔岭酒类包装有限公司,2025-12-31,收母公司货款,1002,银行存款,82000000.00,,,,黔岭酒业股份有限公司,,,,,,,,,销售商品、提供劳务收到的现金,,,黔岭包装对母公司应收账款
PZ00069,S2,黔岭酒类包装有限公司,2025-12-31,收母公司货款,1122,应收账款,,82000000.00,,,黔岭酒业股份有限公司,,,,,,,,,销售商品、提供劳务收到的现金,,,黔岭包装对母公司应收账款
PZ00070,S2,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1401,原材料,96000000.00,,,包材原料供应商,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00070,S2,黔岭酒类包装有限公司,2025-12-31,采购包材原料,1002,银行存款,,96000000.00,,包材原料供应商,,,,,,,,,,购买商品、接受劳务支付的现金,,,
PZ00071,S2,黔岭酒类包装有限公司,2025-12-31,领料投产,1402,生产成本,92000000.00,,,,,,,,,,,,,,,,
PZ00071,S2,黔岭酒类包装有限公司,2025-12-31,领料投产,1401,原材料,,92000000.00,,,,,,,,,,,,,,,
PZ00072,S2,黔岭酒类包装有限公司,2025-12-31,完工入库,1405,库存商品,158000000.00,,,,,,,,,,,,,,,,
PZ00072,S2,黔岭酒类包装有限公司,2025-12-31,完工入库,1402,生产成本,,158000000.00,,,,,,,,,,,,,,,
PZ00073,S2,黔岭酒类包装有限公司,2025-12-31,计提生产人员薪酬,1402,生产成本,42000000.00,,,,,,,,,,,,,,,,
PZ00073,S2,黔岭酒类包装有限公司,2025-12-31,计提生产人员薪酬,2211,应付职工薪酬,,42000000.00,,,,,,,,,,,,,,,
PZ00074,S2,黔岭酒类包装有限公司,2025-12-31,支付职工薪酬,2211,应付职工薪酬,46000000.00,,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00074,S2,黔岭酒类包装有限公司,2025-12-31,支付职工薪酬,1002,银行存款,,46000000.00,,,,,,,,,,,,支付给职工以及为职工支付的现金,,,
PZ00075,S2,黔岭酒类包装有限公司,2025-12-31,计提固定资产折旧,1402,生产成本,26410000.00,,,,,,,,,,生产,,,,,,
PZ00075,S2,黔岭酒类包装有限公司,2025-12-31,计提固定资产折旧,1602,累计折旧,,26410000.00,,,,,,,,,生产,,,,,,
