node_instance_id,capability,plugin_id,status,created_at,finished_at,error_kind,error_message,output_refs
finance-clean-001,audit.foundation.finance-clean,audit.foundation.finance-clean,succeeded,2026-09-12 11:33:40.910086+08:00,2026-09-12 11:33:41.037265+08:00,,,"{'clean-finance-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/finance-clean-001/output-clean-finance-set-e5b3c6fb99105af8.json', 'sha256': 'e5b3c6fb99105af8c306ce9231530948faf0864c266e5470b514e042f10e0108', 'size_bytes': 17620}}"
finance-anomaly-alert-001,audit.risk.finance-anomaly-alert,audit.risk.finance-anomaly-alert,succeeded,2026-09-12 11:33:41.086008+08:00,2026-09-12 11:33:41.219162+08:00,,,"{'finance-anomaly-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/finance-anomaly-alert-001/output-finance-anomaly-set-84f13a7697c37159.json', 'sha256': '84f13a7697c37159505746dcc1892a8f09f37d5cb93e7e00632b3e11164c297d', 'size_bytes': 5037}}"
fraud-risk-match-001,audit.risk.fraud-risk-match,audit.risk.fraud-risk-match,succeeded,2026-09-12 11:33:41.272018+08:00,2026-09-12 11:33:41.406451+08:00,,,"{'fraud-risk-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/fraud-risk-match-001/output-fraud-risk-set-6b8f099b114bde5f.json', 'sha256': '6b8f099b114bde5f9645a106b193238951e6cf7845a3705d6d9e44f1f9a09d6b', 'size_bytes': 383}}"
fulltext-search-001,audit.foundation.fulltext-search,audit.foundation.fulltext-search,succeeded,2026-09-12 11:33:41.453580+08:00,2026-09-12 11:33:41.709966+08:00,,,"{'search-hits': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/fulltext-search-001/output-search-hits-9a17644cc7996e76.json', 'sha256': '9a17644cc7996e76046bf2261bfe6cbd108a0a0b82b2c214855530ad5e5651f9', 'size_bytes': 180}}"
industry-risk-benchmark-001,audit.risk.industry-risk-benchmark,audit.risk.industry-risk-benchmark,succeeded,2026-09-12 11:33:41.760490+08:00,2026-09-12 11:33:41.887892+08:00,,,"{'industry-risk-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/industry-risk-benchmark-001/output-industry-risk-set-07359379172e2546.json', 'sha256': '07359379172e2546b880488c3197571b359e1c65fc7d3a930924bbb80b32fc32', 'size_bytes': 515}}"
internal-control-risk-map-001,audit.risk.internal-control-risk-map,audit.risk.internal-control-risk-map,succeeded,2026-09-12 11:33:41.936002+08:00,2026-09-12 11:33:42.055077+08:00,,,"{'ic-risk-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/internal-control-risk-map-001/output-ic-risk-set-a0c6a8727d6cfd3f.json', 'sha256': 'a0c6a8727d6cfd3f484950ff6e9fbbac806ca9ef4c011f6c4d158620742308f1', 'size_bytes': 549}}"
interview-record-001,audit.field.interview-record,audit.field.interview-record,succeeded,2026-09-12 11:33:42.099676+08:00,2026-09-12 11:33:42.210851+08:00,,,"{'interview-note': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/interview-record-001/output-interview-note-28633ea0c0e2693f.json', 'sha256': '28633ea0c0e2693ffc3a957f391530caeb916d3a377007597bb7ab8cca4f7021', 'size_bytes': 575}}"
inventory-count-001,audit.field.inventory-count,audit.field.inventory-count,succeeded,2026-09-12 11:33:42.255669+08:00,2026-09-12 11:33:42.373705+08:00,,,"{'inventory-result': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/inventory-count-001/output-inventory-result-2bbfbe552f689333.json', 'sha256': '2bbfbe552f68933322f732f677143a68fa1e5d30b80c19278d5bc0be03c487a9', 'size_bytes': 437}}"
issue-trend-analysis-001,audit.govern.issue-trend-analysis,audit.govern.issue-trend-analysis,succeeded,2026-09-12 11:33:42.420938+08:00,2026-09-12 11:33:42.534926+08:00,,,"{'trend-report': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/issue-trend-analysis-001/output-trend-report-a4b9b1d8ef3881bd.json', 'sha256': 'a4b9b1d8ef3881bdb60da390ed024a205dbb962c9886b2db5603bf9349fee556', 'size_bytes': 400}}"
lineage-track-001,audit.foundation.lineage-track,audit.foundation.lineage-track,succeeded,2026-09-12 11:33:42.579182+08:00,2026-09-12 11:33:42.692327+08:00,,,"{'lineage-graph': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/lineage-track-001/output-lineage-graph-9a5ef2d54c6da9b6.json', 'sha256': '9a5ef2d54c6da9b6fdd3e73d66aeb88586423efbdaa538122ac0d64d310f17d1', 'size_bytes': 183}}"
macro-policy-risk-scan-001,audit.risk.macro-policy-risk-scan,audit.risk.macro-policy-risk-scan,succeeded,2026-09-12 11:33:42.737910+08:00,2026-09-12 11:33:42.855293+08:00,,,"{'policy-risk-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/macro-policy-risk-scan-001/output-policy-risk-set-4ce68612d0b0f716.json', 'sha256': '4ce68612d0b0f716a084d20260bc06e4fbac7acf367a44dcfdc2d93295b94925', 'size_bytes': 336}}"
master-mapping-001,audit.foundation.master-mapping,audit.foundation.master-mapping,succeeded,2026-09-12 11:33:42.899640+08:00,2026-09-12 11:33:43.015431+08:00,,,"{'master-map': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/master-mapping-001/output-master-map-43f60b93f77109c5.json', 'sha256': '43f60b93f77109c521894dc0171913ac0c08f2fbafeb8b810c5d9a3fba48f6fb', 'size_bytes': 401}}"
material-submit-001,audit.mandate.material-submit,audit.mandate.material-submit,succeeded,2026-09-12 11:33:43.067674+08:00,2026-09-12 11:33:43.183563+08:00,,,"{'submitted-material': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/material-submit-001/output-submitted-material-fe21194f858c9d1a.json', 'sha256': 'fe21194f858c9d1a6915c67d65b9860c6d6c23fa06d7e98f3fc605ad0ec0a746', 'size_bytes': 856}}"
material-precheck-001,audit.mandate.material-precheck,audit.mandate.material-precheck,succeeded,2026-09-12 11:33:43.229771+08:00,2026-09-12 11:33:43.346278+08:00,,,"{'precheck-report': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/material-precheck-001/output-precheck-report-a65b8a46c59a7ee1.json', 'sha256': 'a65b8a46c59a7ee1634eac4cdb4184a3bed00b93dea17e21009aa269cbeeb591', 'size_bytes': 638}}"
meeting-minutes-001,audit.field.meeting-minutes,audit.field.meeting-minutes,succeeded,2026-09-12 11:33:43.392157+08:00,2026-09-12 11:33:43.509770+08:00,,,"{'meeting-minutes': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/meeting-minutes-001/output-meeting-minutes-6a077aae3a5e7068.json', 'sha256': '6a077aae3a5e7068b53125bf0f516d38d0a6125fabdbd492c1e9c31ec653e870', 'size_bytes': 529}}"
metadata-manage-001,audit.foundation.metadata-manage,audit.foundation.metadata-manage,succeeded,2026-09-12 11:33:43.552528+08:00,2026-09-12 11:33:43.669300+08:00,,,"{'metadata-dict': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/metadata-manage-001/output-metadata-dict-e84b78568f4af2d8.json', 'sha256': 'e84b78568f4af2d84420d73b75af840425c460673e2db2858664d4d486fbb7f1', 'size_bytes': 400}}"
method-distill-001,audit.govern.method-distill,audit.govern.method-distill,succeeded,2026-09-12 11:33:43.713377+08:00,2026-09-12 11:33:43.828478+08:00,,,"{'method-library': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/method-distill-001/output-method-library-e366e286398c49ba.json', 'sha256': 'e366e286398c49baebb7c6ecc32310775552a3c829fd79ac034c7ef2b07aed6c', 'size_bytes': 375}}"
metric-compute-001,audit.foundation.metric-compute,audit.foundation.metric-compute,succeeded,2026-09-12 11:33:43.869945+08:00,2026-09-12 11:33:43.987380+08:00,,,"{'metric-output': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/metric-compute-001/output-metric-output-858c52990f03871c.json', 'sha256': '858c52990f03871ca901484beb1c7123532ffcb2e8e1035aef5f2b902c73591c', 'size_bytes': 1276}}"
multi-source-collect-001,audit.foundation.multi-source-collect,audit.foundation.multi-source-collect,succeeded,2026-09-12 11:33:44.033124+08:00,2026-09-12 11:33:44.147610+08:00,,,"{'audit-source-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/multi-source-collect-001/output-audit-source-set-e940ce3dca462912.json', 'sha256': 'e940ce3dca4629123cfa6604ce453a93dff05f4053651bc852b012e7b492c2a2', 'size_bytes': 325}}"
nlp-process-001,audit.foundation.nlp-process,audit.foundation.nlp-process,succeeded,2026-09-12 11:33:44.194802+08:00,2026-09-12 11:33:44.310740+08:00,,,"{'nlp-output': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/nlp-process-001/output-nlp-output-65b3cd4da8e9d9fc.json', 'sha256': '65b3cd4da8e9d9fc07fb70de5224bfc35ad5f576ba186fb0620305f023f3bc67', 'size_bytes': 734}}"
ocr-extract-001,audit.foundation.ocr-extract,audit.foundation.ocr-extract,succeeded,2026-09-12 11:33:44.353106+08:00,2026-09-12 11:33:44.490167+08:00,,,"{'ocr-text': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/ocr-extract-001/output-ocr-text-469c870a22623b31.json', 'sha256': '469c870a22623b318b38ed51a74036857b0d74d86d37fb320a0f78db13988a60', 'size_bytes': 573}}"
permission-control-001,audit.foundation.permission-control,audit.foundation.permission-control,succeeded,2026-09-12 11:33:44.535148+08:00,2026-09-12 11:33:44.649013+08:00,,,"{'access-decision': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/permission-control-001/output-access-decision-7cfe561bf7550768.json', 'sha256': '7cfe561bf7550768314f1f54ed6b78a709601ad2ab74b52342e6581d913106ce', 'size_bytes': 416}}"
plan-version-control-001,audit.plan.plan-version-control,audit.plan.plan-version-control,succeeded,2026-09-12 11:33:44.692244+08:00,2026-09-12 11:33:44.816023+08:00,,,"{'plan-version': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/plan-version-control-001/output-plan-version-3d268db6109b8da6.json', 'sha256': '3d268db6109b8da6795048d232a0dc65bf2fafc3198e8ec0882bf28bd061d354', 'size_bytes': 619}}"
process-gap-detect-001,audit.risk.process-gap-detect,audit.risk.process-gap-detect,succeeded,2026-09-12 11:33:44.861306+08:00,2026-09-12 11:33:44.974387+08:00,,,"{'process-gap-set': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/process-gap-detect-001/output-process-gap-set-c642a31c39500951.json', 'sha256': 'c642a31c39500951ffd3d25bc400b4f924d52a1e3660f77d35e18021f644b392', 'size_bytes': 336}}"
progress-report-001,audit.field.progress-report,audit.field.progress-report,succeeded,2026-09-12 11:33:45.017371+08:00,2026-09-12 11:33:45.129493+08:00,,,"{'progress-daily': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/progress-report-001/output-progress-daily-0d617d5f4cfa6210.json', 'sha256': '0d617d5f4cfa6210f882080744efafb8b80a1423cbc425aafc564d8966f8c841', 'size_bytes': 227}}"
project-quality-score-001,audit.govern.project-quality-score,audit.govern.project-quality-score,succeeded,2026-09-12 11:33:45.275805+08:00,2026-09-12 11:33:45.386191+08:00,,,"{'quality-score': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/project-quality-score-001/output-quality-score-87a53604217d6a77.json', 'sha256': '87a53604217d6a772bac7cd3d486fecd9144c3bb4d65c5c90aa19ce1c4726128', 'size_bytes': 287}}"
quality-check-001,audit.foundation.quality-check,audit.foundation.quality-check,succeeded,2026-09-12 11:33:45.430749+08:00,2026-09-12 11:33:45.545377+08:00,,,"{'quality-report': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/quality-check-001/output-quality-report-4bdfe153cbde541a.json', 'sha256': '4bdfe153cbde541a50daa10de4ba46dae9a70ef72ae9da25cf2b8219ee750e36', 'size_bytes': 1141}}"
risk-matrix-build-001,audit.risk.risk-matrix-build,audit.risk.risk-matrix-build,succeeded,2026-09-12 11:33:45.587286+08:00,2026-09-12 11:33:45.703533+08:00,,,"{'risk-matrix': {'uri': 'file:///D:/pythonpro/audit_network/docs/%E5%85%A8%E6%B5%81%E7%A8%8B%E8%BF%90%E8%A1%8C%E6%97%A5%E5%BF%97-20260912/12-%E6%9C%AC%E6%AC%A1%E8%BF%90%E8%A1%8C%E4%BA%A7%E7%89%A9/chains/plan-ai-fund-fraud-100/risk-matrix-build-001/output-risk-matrix-f29681f458c8844c.json', 'sha256': 'f29681f458c8844c1842deac162e0cc6c5ec67e8d5d40beacfde17a4c39f3028', 'size_bytes': 8090}}"
